date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:08	1303/1303	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202017%2015:56:26%20GMT	https://mourithemes.com/mouri/css/owl.theme.default.css	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/css/owl.theme.default.css	(from https://mourithemes.com/mouri/)
14:54:10	7719/7719	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202017%2015:56:25%20GMT	https://mourithemes.com/mouri/css/normalize.css	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/css/normalize.css	(from https://mourithemes.com/mouri/)
14:54:12	15252/15252	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202017%2015:56:28%20GMT	https://mourithemes.com/mouri/css/style.css	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/css/style.css	(from https://mourithemes.com/mouri/)
14:54:13	5032/5032	---M--	200	added ('OK')	text/css	date:Thu,%2030%20Nov%202017%2015:56:27%20GMT	https://mourithemes.com/mouri/css/responsive.css	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/css/responsive.css	(from https://mourithemes.com/mouri/)
14:54:14	32856/32856	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2015:56:17%20GMT	https://mourithemes.com/mouri/index.html	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/index-2.html	(from https://mourithemes.com/mouri/)
14:54:17	22612/22612	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:57:53%20GMT	https://mourithemes.com/mouri/images/about/about.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/about/about.jpg	(from https://mourithemes.com/mouri/)
14:54:18	255542/255542	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202017%2015:58:43%20GMT	https://mourithemes.com/mouri/images/signature/signature.png	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/signature/signature.png	(from https://mourithemes.com/mouri/)
14:54:22	70239/70239	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:53%20GMT	https://mourithemes.com/mouri/images/portfolio/small/1.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/1.jpg	(from https://mourithemes.com/mouri/)
14:54:23	771745/771745	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:25%20GMT	https://mourithemes.com/mouri/images/portfolio/1.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/1.jpg	(from https://mourithemes.com/mouri/)
14:54:28	42605/42605	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:52%20GMT	https://mourithemes.com/mouri/images/portfolio/small/2.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/2.jpg	(from https://mourithemes.com/mouri/)
14:54:30	402356/402356	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:14%20GMT	https://mourithemes.com/mouri/images/portfolio/2.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/2.jpg	(from https://mourithemes.com/mouri/)
14:54:35	48507/48507	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:55%20GMT	https://mourithemes.com/mouri/images/portfolio/small/3.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/3.jpg	(from https://mourithemes.com/mouri/)
14:54:36	649809/649809	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:20%20GMT	https://mourithemes.com/mouri/images/portfolio/3.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/3.jpg	(from https://mourithemes.com/mouri/)
14:54:41	272546/272546	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:25%20GMT	https://mourithemes.com/mouri/images/portfolio/4.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/4.jpg	(from https://mourithemes.com/mouri/)
14:54:41	18620/18620	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:55%20GMT	https://mourithemes.com/mouri/images/portfolio/small/4.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/4.jpg	(from https://mourithemes.com/mouri/)
14:54:45	629258/629258	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:36%20GMT	https://mourithemes.com/mouri/images/portfolio/5.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/5.jpg	(from https://mourithemes.com/mouri/)
14:54:45	53854/53854	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:57%20GMT	https://mourithemes.com/mouri/images/portfolio/small/5.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/5.jpg	(from https://mourithemes.com/mouri/)
14:54:50	31484/31484	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:59%20GMT	https://mourithemes.com/mouri/images/portfolio/small/6.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/small/6.jpg	(from https://mourithemes.com/mouri/)
14:54:51	479956/479956	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:33%20GMT	https://mourithemes.com/mouri/images/portfolio/6.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/portfolio/6.jpg	(from https://mourithemes.com/mouri/)
14:54:52	40216/40216	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:43%20GMT	https://mourithemes.com/mouri/images/testimonial/testi1.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/testimonial/testi1.jpg	(from https://mourithemes.com/mouri/)
14:54:53	37331/37331	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:45%20GMT	https://mourithemes.com/mouri/images/testimonial/testi2.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/testimonial/testi2.jpg	(from https://mourithemes.com/mouri/)
14:54:57	51773/51773	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Nov%202017%2015:58:46%20GMT	https://mourithemes.com/mouri/images/testimonial/testi3.jpg	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/images/testimonial/testi3.jpg	(from https://mourithemes.com/mouri/)
14:54:59	86659/86659	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:30%20GMT	https://mourithemes.com/mouri/js/jquery-3.2.1.min.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/jquery-3.2.1.min.js	(from https://mourithemes.com/mouri/)
14:55:01	37045/37045	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:26%20GMT	https://mourithemes.com/mouri/js/bootstrap.min.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/bootstrap.min.js	(from https://mourithemes.com/mouri/)
14:55:04	41730/41730	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:30%20GMT	https://mourithemes.com/mouri/js/jquery.magnific-popup.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/jquery.magnific-popup.js	(from https://mourithemes.com/mouri/)
14:55:09	85368/85368	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Nov%202017%2015:57:37%20GMT	https://mourithemes.com/mouri/js/owl.carousel.js	C:/Users/Mahim/Desktop/my%20website/mourithemes.com/mouri/js/owl.carousel.js	(from https://mourithemes.com/mouri/)
